crime_id,crime_type,latitude,longitude,hour,day_of_week,victim_age,suspect_age,weapon_used,arrest_made
1,Homicide,87.1075692256324,0.43587049488894536,12,Fri,30,53,Gun,0
2,Burglary,73.10475650294629,71.10787989890699,21,Fri,15,56,None,0
3,Fraud,-80.01985757330854,-153.78021756360405,7,Wed,39,64,Blunt Object,0
4,Homicide,59.94616750939258,157.93589391012978,20,Thu,32,54,Gun,1
5,Robbery,-7.5951121393428025,-14.848008483796463,10,Mon,45,69,None,0
6,Fraud,-43.38691109550446,157.8298592246623,10,Fri,12,30,None,0
7,Fraud,68.17437426184736,-141.3365674711923,12,Sun,43,28,None,0
8,Homicide,-54.59989816974469,161.96493399103252,2,Tue,39,55,None,0
9,Assault,80.51399989561205,-140.68904420687517,5,Wed,51,46,None,0
10,Robbery,-52.98813221411861,-13.861512557519035,23,Thu,30,52,Knife,0
11,Homicide,20.462973791173837,157.6771440216716,9,Sun,13,53,Blunt Object,0
12,Robbery,-49.844459784784526,-96.22504786000626,18,Thu,58,40,Knife,0
13,Robbery,8.220359694354258,-167.47740689085575,11,Tue,57,44,None,1
14,Fraud,33.115523384725435,105.51984301015949,13,Sat,60,55,Gun,0
15,Burglary,-55.75897245237524,34.518109560843556,10,Tue,33,53,Gun,1
16,Robbery,3.7594408861222632,5.011629444518633,20,Sat,55,23,Knife,1
17,Vandalism,-5.569246009778581,-167.6363816328414,9,Wed,36,46,Knife,0
18,Fraud,-77.21326414739858,55.163256770464244,2,Tue,60,67,Knife,0
19,Assault,57.29540718155454,-118.21559332155667,12,Fri,29,21,Blunt Object,0
20,Burglary,-29.577167884288492,155.23080487369032,17,Thu,27,26,Blunt Object,0
21,Vandalism,13.424795559338321,66.86170238724554,12,Sun,17,37,Gun,0
22,Vandalism,2.6611622879641885,74.53219969218114,23,Sun,36,31,Knife,0
23,Assault,2.3868908226796037,-96.27110185993904,13,Sat,23,66,Blunt Object,0
24,Burglary,-70.69996904247226,137.0713817004186,13,Tue,27,35,Knife,1
25,Fraud,-13.773238335120098,13.58372548195237,6,Mon,74,26,Knife,0
26,Theft,-8.573983342817357,128.55030401312297,11,Tue,40,36,Blunt Object,1
27,Burglary,42.055711265600735,-82.45890906038065,3,Sun,29,37,None,0
28,Assault,61.20338974572573,91.9662167153686,15,Sat,79,19,None,0
29,Vandalism,8.096810058003243,26.8440853176171,18,Thu,54,32,Knife,0
30,Fraud,-74.37906826830171,-162.5690499081906,9,Fri,10,51,Gun,1
31,Burglary,-47.36709529262167,-34.07676344161669,15,Sun,28,51,Blunt Object,1
32,Theft,-60.31187516650841,-113.79223255555264,4,Sun,48,21,None,0
33,Theft,-67.56928862595754,-50.69750836364781,15,Tue,36,17,Blunt Object,0
34,Robbery,-24.138126248794634,-41.993411664519925,0,Fri,65,15,Blunt Object,0
35,Robbery,-48.709169612211234,-9.025792909781472,4,Mon,25,20,Knife,0
36,Homicide,-50.70543987392779,36.10455938224672,12,Sat,16,21,None,0
37,Assault,-80.15522857627182,25.551954899351728,12,Thu,29,41,Blunt Object,0
38,Burglary,-86.8193919368219,-165.96309430620178,2,Wed,40,45,Gun,0
39,Burglary,-71.50171632303928,90.24811865593983,16,Sun,34,22,Knife,1
40,Homicide,-59.00445370374605,161.70619841019658,18,Sun,10,28,Knife,1
41,Vandalism,-12.42292880732343,-54.47473596541201,4,Thu,26,69,None,0
42,Vandalism,1.8936470337920355,-115.29111551822692,4,Sat,36,29,Knife,1
43,Homicide,-64.6934547287942,14.400562721538705,14,Wed,33,21,None,0
44,Vandalism,-13.538998525646463,73.76865416789187,9,Wed,71,21,Blunt Object,0
45,Robbery,-28.485208381333088,64.40576202995877,11,Thu,61,47,Gun,1
46,Burglary,-56.98374417036791,40.359447900308965,23,Sat,60,55,None,0
47,Homicide,-88.76866533329456,-127.35638923384491,10,Wed,75,21,Blunt Object,1
48,Burglary,-5.936784026086485,121.25696198507939,0,Sat,66,34,Blunt Object,0
49,Theft,33.41731486773588,-26.776237529226478,22,Fri,64,21,Blunt Object,1
50,Robbery,-49.270079854114734,-100.2713101085268,20,Mon,62,64,Knife,1
51,Fraud,-66.27477061859771,-148.94418921728527,2,Tue,28,28,Gun,0
52,Robbery,69.66769400045314,-29.98111860970235,3,Sat,22,68,Gun,1
53,Homicide,-40.4955409521964,42.47029686503066,18,Sat,38,29,Gun,1
54,Fraud,-49.74972843732034,59.535975294542794,23,Wed,15,32,None,0
55,Theft,64.27744912978486,166.58528810301243,19,Sun,10,24,Gun,0
56,Homicide,57.079277850017036,-124.86668988104734,2,Sat,33,49,Blunt Object,1
57,Assault,-9.297635305565947,174.87851947111875,17,Sat,15,41,Knife,0
58,Burglary,-1.9370049430005878,55.683317006002056,2,Sun,57,57,Gun,1
59,Theft,-50.805233129876044,-16.47753922540747,6,Wed,29,15,Blunt Object,0
60,Burglary,-75.90569931367965,139.74992130533735,21,Thu,76,69,Gun,0
61,Vandalism,13.217728564018998,70.0127071032214,20,Sat,64,42,None,1
62,Assault,-72.29791411376164,-54.461802651474514,23,Sun,27,48,Blunt Object,0
63,Assault,-9.130581547803033,138.2708507675262,0,Sun,30,62,None,0
64,Theft,79.28949573234192,59.981564455032526,18,Fri,73,17,Knife,0
65,Assault,81.51019005070518,71.58144808591899,17,Tue,46,63,Knife,1
66,Fraud,-46.92018842147545,142.7003597109694,1,Sat,28,17,None,0
67,Assault,22.340415608217796,-18.57016513114013,11,Wed,65,25,Gun,0
68,Burglary,-4.666272460585631,56.48547814551236,16,Fri,71,18,None,0
